x,y,elevation
0.0,0.0,-9999.0
10.0,0.0,-9999.0
20.0,0.0,-9999.0
30.0,0.0,-9999.0
40.0,0.0,-9999.0
50.0,0.0,-9999.0
60.0,0.0,-9999.0
70.0,0.0,-9999.0
80.0,0.0,-9999.0
90.0,0.0,-9999.0
100.0,0.0,-9999.0
110.0,0.0,-9999.0
120.0,0.0,-9999.0
130.0,0.0,-9999.0
140.0,0.0,-9999.0
150.0,0.0,-9999.0
160.0,0.0,-9999.0
170.0,0.0,-9999.0
180.0,0.0,-9999.0
190.0,0.0,-9999.0
200.0,0.0,-9999.0
210.0,0.0,-9999.0
220.0,0.0,-9999.0
230.0,0.0,-9999.0
240.0,0.0,-9999.0
250.0,0.0,-9999.0
260.0,0.0,-9999.0
270.0,0.0,-9999.0
280.0,0.0,-9999.0
290.0,0.0,-9999.0
300.0,0.0,-9999.0
310.0,0.0,-9999.0
320.0,0.0,-9999.0
330.0,0.0,-9999.0
340.0,0.0,-9999.0
350.0,0.0,-9999.0
360.0,0.0,-9999.0
370.0,0.0,-9999.0
380.0,0.0,-9999.0
390.0,0.0,-9999.0
400.0,0.0,-9999.0
410.0,0.0,-9999.0
420.0,0.0,-9999.0
430.0,0.0,-9999.0
440.0,0.0,-9999.0
450.0,0.0,-9999.0
460.0,0.0,-9999.0
470.0,0.0,-9999.0
480.0,0.0,-9999.0
490.0,0.0,-9999.0
500.0,0.0,-9999.0
510.0,0.0,-9999.0
520.0,0.0,-9999.0
530.0,0.0,-9999.0
540.0,0.0,-9999.0
550.0,0.0,-9999.0
560.0,0.0,-9999.0
570.0,0.0,-9999.0
580.0,0.0,-9999.0
590.0,0.0,-9999.0
600.0,0.0,-9999.0
610.0,0.0,-9999.0
620.0,0.0,-9999.0
630.0,0.0,-9999.0
640.0,0.0,-9999.0
650.0,0.0,-9999.0
660.0,0.0,-9999.0
670.0,0.0,-9999.0
680.0,0.0,-9999.0
690.0,0.0,-9999.0
700.0,0.0,-9999.0
710.0,0.0,-9999.0
720.0,0.0,-9999.0
730.0,0.0,-9999.0
740.0,0.0,-9999.0
750.0,0.0,-9999.0
0.0,10.0,-9999.0
10.0,10.0,-9999.0
20.0,10.0,-9999.0
30.0,10.0,-9999.0
40.0,10.0,-9999.0
50.0,10.0,-9999.0
60.0,10.0,-9999.0
70.0,10.0,-9999.0
80.0,10.0,-9999.0
90.0,10.0,-9999.0
100.0,10.0,-9999.0
110.0,10.0,-9999.0
120.0,10.0,-9999.0
130.0,10.0,-9999.0
140.0,10.0,-9999.0
150.0,10.0,-9999.0
160.0,10.0,-9999.0
170.0,10.0,-9999.0
180.0,10.0,-9999.0
190.0,10.0,-9999.0
200.0,10.0,-9999.0
210.0,10.0,-9999.0
220.0,10.0,-9999.0
230.0,10.0,-9999.0
240.0,10.0,-9999.0
250.0,10.0,-9999.0
260.0,10.0,-9999.0
270.0,10.0,-9999.0
280.0,10.0,-9999.0
290.0,10.0,-9999.0
300.0,10.0,-9999.0
310.0,10.0,-9999.0
320.0,10.0,-9999.0
330.0,10.0,-9999.0
340.0,10.0,-9999.0
350.0,10.0,-9999.0
360.0,10.0,-9999.0
370.0,10.0,-9999.0
380.0,10.0,-9999.0
390.0,10.0,-9999.0
400.0,10.0,-9999.0
410.0,10.0,-9999.0
420.0,10.0,-9999.0
430.0,10.0,-9999.0
440.0,10.0,-9999.0
450.0,10.0,-9999.0
460.0,10.0,-9999.0
470.0,10.0,-9999.0
480.0,10.0,-9999.0
490.0,10.0,-9999.0
500.0,10.0,-9999.0
510.0,10.0,-9999.0
520.0,10.0,-9999.0
530.0,10.0,-9999.0
540.0,10.0,-9999.0
550.0,10.0,-9999.0
560.0,10.0,-9999.0
570.0,10.0,-9999.0
580.0,10.0,-9999.0
590.0,10.0,-9999.0
600.0,10.0,-9999.0
610.0,10.0,-9999.0
620.0,10.0,-9999.0
630.0,10.0,-9999.0
640.0,10.0,-9999.0
650.0,10.0,-9999.0
660.0,10.0,-9999.0
670.0,10.0,-9999.0
680.0,10.0,-9999.0
690.0,10.0,-9999.0
700.0,10.0,-9999.0
710.0,10.0,-9999.0
720.0,10.0,-9999.0
730.0,10.0,-9999.0
740.0,10.0,-9999.0
750.0,10.0,-9999.0
0.0,20.0,-9999.0
10.0,20.0,-9999.0
20.0,20.0,-9999.0
30.0,20.0,-9999.0
40.0,20.0,-9999.0
50.0,20.0,-9999.0
60.0,20.0,-9999.0
70.0,20.0,-9999.0
80.0,20.0,-9999.0
90.0,20.0,-9999.0
100.0,20.0,-9999.0
110.0,20.0,-9999.0
120.0,20.0,-9999.0
130.0,20.0,-9999.0
140.0,20.0,-9999.0
150.0,20.0,-9999.0
160.0,20.0,-9999.0
170.0,20.0,-9999.0
180.0,20.0,-9999.0
190.0,20.0,-9999.0
200.0,20.0,-9999.0
210.0,20.0,-9999.0
220.0,20.0,-9999.0
230.0,20.0,-9999.0
240.0,20.0,-9999.0
250.0,20.0,-9999.0
260.0,20.0,-9999.0
270.0,20.0,-9999.0
280.0,20.0,-9999.0
290.0,20.0,-9999.0
300.0,20.0,-9999.0
310.0,20.0,-9999.0
320.0,20.0,-9999.0
330.0,20.0,-9999.0
340.0,20.0,-9999.0
350.0,20.0,-9999.0
360.0,20.0,-9999.0
370.0,20.0,-9999.0
380.0,20.0,-9999.0
390.0,20.0,-9999.0
400.0,20.0,-9999.0
410.0,20.0,-9999.0
420.0,20.0,-9999.0
430.0,20.0,-9999.0
440.0,20.0,-9999.0
450.0,20.0,-9999.0
460.0,20.0,-9999.0
470.0,20.0,-9999.0
480.0,20.0,-9999.0
490.0,20.0,-9999.0
500.0,20.0,-9999.0
510.0,20.0,-9999.0
520.0,20.0,-9999.0
530.0,20.0,-9999.0
540.0,20.0,-9999.0
550.0,20.0,-9999.0
560.0,20.0,-9999.0
570.0,20.0,-9999.0
580.0,20.0,-9999.0
590.0,20.0,-9999.0
600.0,20.0,-9999.0
610.0,20.0,-9999.0
620.0,20.0,-9999.0
630.0,20.0,-9999.0
640.0,20.0,-9999.0
650.0,20.0,-9999.0
660.0,20.0,-9999.0
670.0,20.0,-9999.0
680.0,20.0,-9999.0
690.0,20.0,-9999.0
700.0,20.0,-9999.0
710.0,20.0,-9999.0
720.0,20.0,-9999.0
730.0,20.0,-9999.0
740.0,20.0,-9999.0
750.0,20.0,-9999.0
0.0,30.0,-9999.0
10.0,30.0,-9999.0
20.0,30.0,-9999.0
30.0,30.0,-9999.0
40.0,30.0,-9999.0
50.0,30.0,-9999.0
60.0,30.0,-9999.0
70.0,30.0,-9999.0
80.0,30.0,-9999.0
90.0,30.0,-9999.0
100.0,30.0,-9999.0
110.0,30.0,-9999.0
120.0,30.0,-9999.0
130.0,30.0,-9999.0
140.0,30.0,-9999.0
150.0,30.0,-9999.0
160.0,30.0,-9999.0
170.0,30.0,-9999.0
180.0,30.0,-9999.0
190.0,30.0,-9999.0
200.0,30.0,-9999.0
210.0,30.0,-9999.0
220.0,30.0,-9999.0
230.0,30.0,-9999.0
240.0,30.0,-9999.0
250.0,30.0,-9999.0
260.0,30.0,-9999.0
270.0,30.0,-9999.0
280.0,30.0,-9999.0
290.0,30.0,-9999.0
300.0,30.0,-9999.0
310.0,30.0,-9999.0
320.0,30.0,-9999.0
330.0,30.0,-9999.0
340.0,30.0,-9999.0
350.0,30.0,-9999.0
360.0,30.0,-9999.0
370.0,30.0,-9999.0
380.0,30.0,-9999.0
390.0,30.0,-9999.0
400.0,30.0,-9999.0
410.0,30.0,-9999.0
420.0,30.0,-9999.0
430.0,30.0,-9999.0
440.0,30.0,-9999.0
450.0,30.0,-9999.0
460.0,30.0,-9999.0
470.0,30.0,-9999.0
480.0,30.0,-9999.0
490.0,30.0,-9999.0
500.0,30.0,-9999.0
510.0,30.0,-9999.0
520.0,30.0,-9999.0
530.0,30.0,-9999.0
540.0,30.0,-9999.0
550.0,30.0,-9999.0
560.0,30.0,-9999.0
570.0,30.0,-9999.0
580.0,30.0,-9999.0
590.0,30.0,-9999.0
600.0,30.0,-9999.0
610.0,30.0,-9999.0
620.0,30.0,-9999.0
630.0,30.0,-9999.0
640.0,30.0,-9999.0
650.0,30.0,-9999.0
660.0,30.0,-9999.0
670.0,30.0,-9999.0
680.0,30.0,-9999.0
690.0,30.0,-9999.0
700.0,30.0,-9999.0
710.0,30.0,-9999.0
720.0,30.0,-9999.0
730.0,30.0,-9999.0
740.0,30.0,-9999.0
750.0,30.0,-9999.0
0.0,40.0,-9999.0
10.0,40.0,-9999.0
20.0,40.0,-9999.0
30.0,40.0,-9999.0
40.0,40.0,-9999.0
50.0,40.0,-9999.0
60.0,40.0,-9999.0
70.0,40.0,-9999.0
80.0,40.0,-9999.0
90.0,40.0,-9999.0
100.0,40.0,-9999.0
110.0,40.0,-9999.0
120.0,40.0,-9999.0
130.0,40.0,-9999.0
140.0,40.0,-9999.0
150.0,40.0,-9999.0
160.0,40.0,-9999.0
170.0,40.0,-9999.0
180.0,40.0,-9999.0
190.0,40.0,-9999.0
200.0,40.0,-9999.0
210.0,40.0,-9999.0
220.0,40.0,-9999.0
230.0,40.0,-9999.0
240.0,40.0,-9999.0
250.0,40.0,-9999.0
260.0,40.0,-9999.0
270.0,40.0,-9999.0
280.0,40.0,-9999.0
290.0,40.0,-9999.0
300.0,40.0,-9999.0
310.0,40.0,-9999.0
320.0,40.0,-9999.0
330.0,40.0,-9999.0
340.0,40.0,-9999.0
350.0,40.0,-9999.0
360.0,40.0,-9999.0
370.0,40.0,-9999.0
380.0,40.0,-9999.0
390.0,40.0,-9999.0
400.0,40.0,-9999.0
410.0,40.0,-9999.0
420.0,40.0,-9999.0
430.0,40.0,-9999.0
440.0,40.0,-9999.0
450.0,40.0,-9999.0
460.0,40.0,-9999.0
470.0,40.0,-9999.0
480.0,40.0,-9999.0
490.0,40.0,-9999.0
500.0,40.0,-9999.0
510.0,40.0,-9999.0
520.0,40.0,-9999.0
530.0,40.0,-9999.0
540.0,40.0,-9999.0
550.0,40.0,-9999.0
560.0,40.0,-9999.0
570.0,40.0,-9999.0
580.0,40.0,-9999.0
590.0,40.0,-9999.0
600.0,40.0,-9999.0
610.0,40.0,1710.999928589216
620.0,40.0,1710.9998928838243
630.0,40.0,1709.999899009901
640.0,40.0,1709.999928589216
650.0,40.0,-9999.0
660.0,40.0,-9999.0
670.0,40.0,-9999.0
680.0,40.0,-9999.0
690.0,40.0,-9999.0
700.0,40.0,-9999.0
710.0,40.0,-9999.0
720.0,40.0,-9999.0
730.0,40.0,-9999.0
740.0,40.0,-9999.0
750.0,40.0,-9999.0
0.0,50.0,-9999.0
10.0,50.0,-9999.0
20.0,50.0,-9999.0
30.0,50.0,-9999.0
40.0,50.0,-9999.0
50.0,50.0,-9999.0
60.0,50.0,-9999.0
70.0,50.0,-9999.0
80.0,50.0,-9999.0
90.0,50.0,-9999.0
100.0,50.0,-9999.0
110.0,50.0,-9999.0
120.0,50.0,-9999.0
130.0,50.0,-9999.0
140.0,50.0,-9999.0
150.0,50.0,-9999.0
160.0,50.0,-9999.0
170.0,50.0,-9999.0
180.0,50.0,-9999.0
190.0,50.0,-9999.0
200.0,50.0,-9999.0
210.0,50.0,-9999.0
220.0,50.0,-9999.0
230.0,50.0,-9999.0
240.0,50.0,-9999.0
250.0,50.0,-9999.0
260.0,50.0,-9999.0
270.0,50.0,-9999.0
280.0,50.0,-9999.0
290.0,50.0,-9999.0
300.0,50.0,-9999.0
310.0,50.0,-9999.0
320.0,50.0,-9999.0
330.0,50.0,-9999.0
340.0,50.0,-9999.0
350.0,50.0,-9999.0
360.0,50.0,-9999.0
370.0,50.0,-9999.0
380.0,50.0,1699.9999642946082
390.0,50.0,1700.999899009901
400.0,50.0,1700.999928589216
410.0,50.0,-9999.0
420.0,50.0,-9999.0
430.0,50.0,-9999.0
440.0,50.0,-9999.0
450.0,50.0,-9999.0
460.0,50.0,-9999.0
470.0,50.0,-9999.0
480.0,50.0,-9999.0
490.0,50.0,-9999.0
500.0,50.0,-9999.0
510.0,50.0,-9999.0
520.0,50.0,-9999.0
530.0,50.0,-9999.0
540.0,50.0,-9999.0
550.0,50.0,-9999.0
560.0,50.0,-9999.0
570.0,50.0,-9999.0
580.0,50.0,-9999.0
590.0,50.0,-9999.0
600.0,50.0,1709.9999495049506
610.0,50.0,1709.9998928838243
620.0,50.0,1708.999856492054
630.0,50.0,1707.9999128558882
640.0,50.0,1708.999928589216
650.0,50.0,1707.999928589216
660.0,50.0,-9999.0
670.0,50.0,-9999.0
680.0,50.0,-9999.0
690.0,50.0,-9999.0
700.0,50.0,-9999.0
710.0,50.0,-9999.0
720.0,50.0,-9999.0
730.0,50.0,-9999.0
740.0,50.0,-9999.0
750.0,50.0,-9999.0
0.0,60.0,-9999.0
10.0,60.0,-9999.0
20.0,60.0,-9999.0
30.0,60.0,-9999.0
40.0,60.0,-9999.0
50.0,60.0,-9999.0
60.0,60.0,-9999.0
70.0,60.0,-9999.0
80.0,60.0,-9999.0
90.0,60.0,-9999.0
100.0,60.0,-9999.0
110.0,60.0,-9999.0
120.0,60.0,-9999.0
130.0,60.0,-9999.0
140.0,60.0,-9999.0
150.0,60.0,-9999.0
160.0,60.0,-9999.0
170.0,60.0,-9999.0
180.0,60.0,-9999.0
190.0,60.0,-9999.0
200.0,60.0,-9999.0
210.0,60.0,-9999.0
220.0,60.0,-9999.0
230.0,60.0,-9999.0
240.0,60.0,-9999.0
250.0,60.0,-9999.0
260.0,60.0,-9999.0
270.0,60.0,-9999.0
280.0,60.0,-9999.0
290.0,60.0,-9999.0
300.0,60.0,-9999.0
310.0,60.0,-9999.0
320.0,60.0,-9999.0
330.0,60.0,-9999.0
340.0,60.0,-9999.0
350.0,60.0,-9999.0
360.0,60.0,-9999.0
370.0,60.0,1699.9999495049506
380.0,60.0,1700.999899009901
390.0,60.0,1699.0000028860538
400.0,60.0,1699.9999495049506
410.0,60.0,1700.999928589216
420.0,60.0,-9999.0
430.0,60.0,-9999.0
440.0,60.0,-9999.0
450.0,60.0,-9999.0
460.0,60.0,-9999.0
470.0,60.0,-9999.0
480.0,60.0,-9999.0
490.0,60.0,-9999.0
500.0,60.0,-9999.0
510.0,60.0,-9999.0
520.0,60.0,-9999.0
530.0,60.0,-9999.0
540.0,60.0,-9999.0
550.0,60.0,-9999.0
560.0,60.0,-9999.0
570.0,60.0,-9999.0
580.0,60.0,-9999.0
590.0,60.0,1710.9998571784324
600.0,60.0,1708.9998562910187
610.0,60.0,1708.9998214730404
620.0,60.0,1706.9996921508211
630.0,60.0,1706.9996909440665
640.0,60.0,1707.9998571784324
650.0,60.0,1706.9996904810741
660.0,60.0,-9999.0
670.0,60.0,-9999.0
680.0,60.0,-9999.0
690.0,60.0,-9999.0
700.0,60.0,-9999.0
710.0,60.0,-9999.0
720.0,60.0,-9999.0
730.0,60.0,-9999.0
740.0,60.0,-9999.0
750.0,60.0,-9999.0
0.0,70.0,-9999.0
10.0,70.0,-9999.0
20.0,70.0,-9999.0
30.0,70.0,-9999.0
40.0,70.0,-9999.0
50.0,70.0,-9999.0
60.0,70.0,-9999.0
70.0,70.0,-9999.0
80.0,70.0,-9999.0
90.0,70.0,-9999.0
100.0,70.0,-9999.0
110.0,70.0,-9999.0
120.0,70.0,-9999.0
130.0,70.0,-9999.0
140.0,70.0,-9999.0
150.0,70.0,-9999.0
160.0,70.0,-9999.0
170.0,70.0,-9999.0
180.0,70.0,-9999.0
190.0,70.0,-9999.0
200.0,70.0,-9999.0
210.0,70.0,-9999.0
220.0,70.0,-9999.0
230.0,70.0,-9999.0
240.0,70.0,-9999.0
250.0,70.0,-9999.0
260.0,70.0,-9999.0
270.0,70.0,-9999.0
280.0,70.0,-9999.0
290.0,70.0,-9999.0
300.0,70.0,-9999.0
310.0,70.0,-9999.0
320.0,70.0,1697.9999495049506
330.0,70.0,1698.999928589216
340.0,70.0,1700.9998485148515
350.0,70.0,1699.9998928838243
360.0,70.0,1698.999899009901
370.0,70.0,1698.9998985245584
380.0,70.0,1699.9998485148515
390.0,70.0,1698.9997427554267
400.0,70.0,1699.0000085916474
410.0,70.0,1703.9997475247524
420.0,70.0,-9999.0
430.0,70.0,-9999.0
440.0,70.0,-9999.0
450.0,70.0,-9999.0
460.0,70.0,-9999.0
470.0,70.0,-9999.0
480.0,70.0,1705.9999495049506
490.0,70.0,1705.9999642946082
500.0,70.0,-9999.0
510.0,70.0,-9999.0
520.0,70.0,-9999.0
530.0,70.0,-9999.0
540.0,70.0,-9999.0
550.0,70.0,1708.9998928838243
560.0,70.0,1709.999899009901
570.0,70.0,1709.999928589216
580.0,70.0,1709.9998571784324
590.0,70.0,1709.999798019802
600.0,70.0,1706.9997963296983
610.0,70.0,1707.9997500622565
620.0,70.0,1703.9996244547362
630.0,70.0,1703.9995425741024
640.0,70.0,1705.999697029703
650.0,70.0,1703.9996240614882
660.0,70.0,1705.9998214730404
670.0,70.0,-9999.0
680.0,70.0,-9999.0
690.0,70.0,-9999.0
700.0,70.0,-9999.0
710.0,70.0,-9999.0
720.0,70.0,-9999.0
730.0,70.0,-9999.0
740.0,70.0,-9999.0
750.0,70.0,-9999.0
0.0,80.0,-9999.0
10.0,80.0,-9999.0
20.0,80.0,-9999.0
30.0,80.0,-9999.0
40.0,80.0,-9999.0
50.0,80.0,-9999.0
60.0,80.0,-9999.0
70.0,80.0,-9999.0
80.0,80.0,-9999.0
90.0,80.0,-9999.0
100.0,80.0,-9999.0
110.0,80.0,-9999.0
120.0,80.0,-9999.0
130.0,80.0,-9999.0
140.0,80.0,-9999.0
150.0,80.0,-9999.0
160.0,80.0,-9999.0
170.0,80.0,-9999.0
180.0,80.0,-9999.0
190.0,80.0,-9999.0
200.0,80.0,-9999.0
210.0,80.0,-9999.0
220.0,80.0,-9999.0
230.0,80.0,-9999.0
240.0,80.0,-9999.0
250.0,80.0,-9999.0
260.0,80.0,-9999.0
270.0,80.0,-9999.0
280.0,80.0,-9999.0
290.0,80.0,1699.9998485148515
300.0,80.0,1697.999928589216
310.0,80.0,1697.999899009901
320.0,80.0,1696.9999381394923
330.0,80.0,1697.999928589216
340.0,80.0,1697.999857261704
350.0,80.0,1699.9997857676485
360.0,80.0,1696.9997346059993
370.0,80.0,1697.9998485148515
380.0,80.0,1696.9996913352202
390.0,80.0,1698.9998562910187
400.0,80.0,1699.9999495049506
410.0,80.0,1701.9998109374421
420.0,80.0,1702.000001456028
430.0,80.0,1704.9998485148515
440.0,80.0,1704.9999495049506
450.0,80.0,1705.999928589216
460.0,80.0,1705.9999495049506
470.0,80.0,1705.9998571784324
480.0,80.0,1704.9997841938566
490.0,80.0,1705.9998485148515
500.0,80.0,1704.9998983824048
510.0,80.0,1706.999899009901
520.0,80.0,1708.9998485148515
530.0,80.0,1705.9998485148515
540.0,80.0,1705.9997847380812
550.0,80.0,1707.9998214730404
560.0,80.0,1707.999899009901
570.0,80.0,1708.9998485148515
580.0,80.0,1707.9998477452016
590.0,80.0,1705.999814219393
600.0,80.0,1704.9996761929956
610.0,80.0,1704.9997857676485
620.0,80.0,1700.99971843604
630.0,80.0,1699.9998912062633
640.0,80.0,1699.9999009512717
650.0,80.0,1700.9995658689345
660.0,80.0,1703.9997857676485
670.0,80.0,1701.999899009901
680.0,80.0,-9999.0
690.0,80.0,-9999.0
700.0,80.0,-9999.0
710.0,80.0,-9999.0
720.0,80.0,-9999.0
730.0,80.0,-9999.0
740.0,80.0,-9999.0
750.0,80.0,-9999.0
0.0,90.0,-9999.0
10.0,90.0,-9999.0
20.0,90.0,-9999.0
30.0,90.0,-9999.0
40.0,90.0,-9999.0
50.0,90.0,-9999.0
60.0,90.0,-9999.0
70.0,90.0,-9999.0
80.0,90.0,-9999.0
90.0,90.0,-9999.0
100.0,90.0,-9999.0
110.0,90.0,-9999.0
120.0,90.0,-9999.0
130.0,90.0,-9999.0
140.0,90.0,-9999.0
150.0,90.0,-9999.0
160.0,90.0,-9999.0
170.0,90.0,-9999.0
180.0,90.0,-9999.0
190.0,90.0,-9999.0
200.0,90.0,-9999.0
210.0,90.0,-9999.0
220.0,90.0,-9999.0
230.0,90.0,-9999.0
240.0,90.0,-9999.0
250.0,90.0,-9999.0
260.0,90.0,-9999.0
270.0,90.0,-9999.0
280.0,90.0,1700.999798019802
290.0,90.0,1696.9999403435615
300.0,90.0,1696.999928589216
310.0,90.0,1695.9998739030175
320.0,90.0,1696.999899009901
330.0,90.0,1696.9998928838243
340.0,90.0,1695.9997956751865
350.0,90.0,1695.9998928838243
360.0,90.0,1693.9998921363958
370.0,90.0,1694.9995349666083
380.0,90.0,1696.9998571784324
390.0,90.0,1698.9998928838243
400.0,90.0,1699.9998994952437
410.0,90.0,1702.9998485148515
420.0,90.0,1703.9998928838243
430.0,90.0,1704.9998928838243
440.0,90.0,1704.000001160345
450.0,90.0,1705.9998928838243
460.0,90.0,1704.9998562910187
470.0,90.0,1705.999798019802
480.0,90.0,1702.0000071900647
490.0,90.0,1702.9998994738428
500.0,90.0,1704.9998485148515
510.0,90.0,1704.9997846791994
520.0,90.0,1707.9997475247524
530.0,90.0,1706.999798019802
540.0,90.0,1703.0000123667128
550.0,90.0,1707.9997475247524
560.0,90.0,1707.9998928838243
570.0,90.0,1705.9997096107857
580.0,90.0,1705.999798019802
590.0,90.0,1704.9997507854284
600.0,90.0,1702.9996380880998
610.0,90.0,1700.999465531467
620.0,90.0,1698.999332621269
630.0,90.0,1698.9993029254117
640.0,90.0,1698.999798019802
650.0,90.0,1697.9996264875144
660.0,90.0,1699.9998485148515
670.0,90.0,1699.9997846791994
680.0,90.0,1699.9998928838243
690.0,90.0,-9999.0
700.0,90.0,-9999.0
710.0,90.0,-9999.0
720.0,90.0,-9999.0
730.0,90.0,-9999.0
740.0,90.0,-9999.0
750.0,90.0,-9999.0
0.0,100.0,-9999.0
10.0,100.0,-9999.0
20.0,100.0,-9999.0
30.0,100.0,-9999.0
40.0,100.0,-9999.0
50.0,100.0,-9999.0
60.0,100.0,-9999.0
70.0,100.0,-9999.0
80.0,100.0,-9999.0
90.0,100.0,-9999.0
100.0,100.0,-9999.0
110.0,100.0,-9999.0
120.0,100.0,-9999.0
130.0,100.0,-9999.0
140.0,100.0,-9999.0
150.0,100.0,-9999.0
160.0,100.0,-9999.0
170.0,100.0,-9999.0
180.0,100.0,-9999.0
190.0,100.0,-9999.0
200.0,100.0,-9999.0
210.0,100.0,-9999.0
220.0,100.0,-9999.0
230.0,100.0,-9999.0
240.0,100.0,-9999.0
250.0,100.0,-9999.0
260.0,100.0,-9999.0
270.0,100.0,1697.9998214730404
280.0,100.0,1696.999798019802
290.0,100.0,1697.9997475247524
300.0,100.0,1695.9997815211004
310.0,100.0,1694.9996850289122
320.0,100.0,1694.9997846791994
330.0,100.0,1694.9998485148515
340.0,100.0,1693.9995508518302
350.0,100.0,1693.9997475247524
360.0,100.0,1692.9995835643404
370.0,100.0,1692.9994635747453
380.0,100.0,1695.9997847380812
390.0,100.0,1697.9998128693887
400.0,100.0,1698.9998417729003
410.0,100.0,1700.999794670417
420.0,100.0,1701.9999289324053
430.0,100.0,1704.9998485148515
440.0,100.0,1703.9998531728322
450.0,100.0,1703.999899009901
460.0,100.0,1702.9998998392628
470.0,100.0,1703.999928589216
480.0,100.0,1703.9998928838243
490.0,100.0,1701.9997600093634
500.0,100.0,1701.9998485148515
510.0,100.0,1701.9997366823175
520.0,100.0,1702.9997985051446
530.0,100.0,1703.9998928838243
540.0,100.0,1702.9998297616598
550.0,100.0,1705.9998485148515
560.0,100.0,1705.9998571784324
570.0,100.0,1704.9997847380812
580.0,100.0,1701.999801085268
590.0,100.0,1702.9997857676485
600.0,100.0,1700.9995663608722
610.0,100.0,1697.9995990424923
620.0,100.0,1694.9994091379458
630.0,100.0,1693.9995848701435
640.0,100.0,1694.9989894824269
650.0,100.0,1695.999697029703
660.0,100.0,1696.999644593283
670.0,100.0,1696.9996934894461
