x,y,elevation,m_sp
0.0,0.0,,0.8
10.0,0.0,,0.8
20.0,0.0,,0.8
30.0,0.0,,0.8
40.0,0.0,,0.8
50.0,0.0,,0.8
60.0,0.0,,0.8
70.0,0.0,,0.8
80.0,0.0,,0.8
90.0,0.0,,0.8
100.0,0.0,,0.8
110.0,0.0,,0.8
120.0,0.0,,0.8
130.0,0.0,,0.8
140.0,0.0,,0.8
150.0,0.0,,0.8
160.0,0.0,,0.8
170.0,0.0,,0.8
180.0,0.0,,0.8
190.0,0.0,,0.8
200.0,0.0,,0.8
210.0,0.0,,0.8
220.0,0.0,,0.8
230.0,0.0,,0.8
240.0,0.0,,0.8
250.0,0.0,,0.8
260.0,0.0,,0.8
270.0,0.0,,0.8
280.0,0.0,,0.8
290.0,0.0,,0.8
300.0,0.0,,0.8
310.0,0.0,,0.8
320.0,0.0,,0.8
330.0,0.0,,0.8
340.0,0.0,,0.8
350.0,0.0,,0.8
360.0,0.0,,0.8
370.0,0.0,,0.8
380.0,0.0,,0.8
390.0,0.0,,0.8
400.0,0.0,,0.8
410.0,0.0,,0.8
420.0,0.0,,0.8
430.0,0.0,,0.8
440.0,0.0,,0.8
450.0,0.0,,0.8
460.0,0.0,,0.8
470.0,0.0,,0.8
480.0,0.0,,0.8
490.0,0.0,,0.8
500.0,0.0,,0.8
510.0,0.0,,0.8
520.0,0.0,,0.8
530.0,0.0,,0.8
540.0,0.0,,0.8
550.0,0.0,,0.8
560.0,0.0,,0.8
570.0,0.0,,0.8
580.0,0.0,,0.8
590.0,0.0,,0.8
600.0,0.0,,0.8
610.0,0.0,,0.8
620.0,0.0,,0.8
630.0,0.0,,0.8
640.0,0.0,,0.8
650.0,0.0,,0.8
660.0,0.0,,0.8
670.0,0.0,,0.8
680.0,0.0,,0.8
690.0,0.0,,0.8
700.0,0.0,,0.8
710.0,0.0,,0.8
720.0,0.0,,0.8
730.0,0.0,,0.8
740.0,0.0,,0.8
750.0,0.0,,0.8
0.0,10.0,,0.8
10.0,10.0,,0.8
20.0,10.0,,0.8
30.0,10.0,,0.8
40.0,10.0,,0.8
50.0,10.0,,0.8
60.0,10.0,,0.8
70.0,10.0,,0.8
80.0,10.0,,0.8
90.0,10.0,,0.8
100.0,10.0,,0.8
110.0,10.0,,0.8
120.0,10.0,,0.8
130.0,10.0,,0.8
140.0,10.0,,0.8
150.0,10.0,,0.8
160.0,10.0,,0.8
170.0,10.0,,0.8
180.0,10.0,,0.8
190.0,10.0,,0.8
200.0,10.0,,0.8
210.0,10.0,,0.8
220.0,10.0,,0.8
230.0,10.0,,0.8
240.0,10.0,,0.8
250.0,10.0,,0.8
260.0,10.0,,0.8
270.0,10.0,,0.8
280.0,10.0,,0.8
290.0,10.0,,0.8
300.0,10.0,,0.8
310.0,10.0,,0.8
320.0,10.0,,0.8
330.0,10.0,,0.8
340.0,10.0,,0.8
350.0,10.0,,0.8
360.0,10.0,,0.8
370.0,10.0,,0.8
380.0,10.0,,0.8
390.0,10.0,,0.8
400.0,10.0,,0.8
410.0,10.0,,0.8
420.0,10.0,,0.8
430.0,10.0,,0.8
440.0,10.0,,0.8
450.0,10.0,,0.8
460.0,10.0,,0.8
470.0,10.0,,0.8
480.0,10.0,,0.8
490.0,10.0,,0.8
500.0,10.0,,0.8
510.0,10.0,,0.8
520.0,10.0,,0.8
530.0,10.0,,0.8
540.0,10.0,,0.8
550.0,10.0,,0.8
560.0,10.0,,0.8
570.0,10.0,,0.8
580.0,10.0,,0.8
590.0,10.0,,0.8
600.0,10.0,,0.8
610.0,10.0,,0.8
620.0,10.0,,0.8
630.0,10.0,,0.8
640.0,10.0,,0.8
650.0,10.0,,0.8
660.0,10.0,,0.8
670.0,10.0,,0.8
680.0,10.0,,0.8
690.0,10.0,,0.8
700.0,10.0,,0.8
710.0,10.0,,0.8
720.0,10.0,,0.8
730.0,10.0,,0.8
740.0,10.0,,0.8
750.0,10.0,,0.8
0.0,20.0,,0.8
10.0,20.0,,0.8
20.0,20.0,,0.8
30.0,20.0,,0.8
40.0,20.0,,0.8
50.0,20.0,,0.8
60.0,20.0,,0.8
70.0,20.0,,0.8
80.0,20.0,,0.8
90.0,20.0,,0.8
100.0,20.0,,0.8
110.0,20.0,,0.8
120.0,20.0,,0.8
130.0,20.0,,0.8
140.0,20.0,,0.8
150.0,20.0,,0.8
160.0,20.0,,0.8
170.0,20.0,,0.8
180.0,20.0,,0.8
190.0,20.0,,0.8
200.0,20.0,,0.8
210.0,20.0,,0.8
220.0,20.0,,0.8
230.0,20.0,,0.8
240.0,20.0,,0.8
250.0,20.0,,0.8
260.0,20.0,,0.8
270.0,20.0,,0.8
280.0,20.0,,0.8
290.0,20.0,,0.8
300.0,20.0,,0.8
310.0,20.0,,0.8
320.0,20.0,,0.8
330.0,20.0,,0.8
340.0,20.0,,0.8
350.0,20.0,,0.8
360.0,20.0,,0.8
370.0,20.0,,0.8
380.0,20.0,,0.8
390.0,20.0,,0.8
400.0,20.0,,0.8
410.0,20.0,,0.8
420.0,20.0,,0.8
430.0,20.0,,0.8
440.0,20.0,,0.8
450.0,20.0,,0.8
460.0,20.0,,0.8
470.0,20.0,,0.8
480.0,20.0,,0.8
490.0,20.0,,0.8
500.0,20.0,,0.8
510.0,20.0,,0.8
520.0,20.0,,0.8
530.0,20.0,,0.8
540.0,20.0,,0.8
